shopify_product_id,handle,title,has_clean_lifestyle_pos1,status
9372965666921,abri-jardin-acier-galvanise-double-porte,Abri de jardin en acier galvanisé avec double porte,true,CLEAN_POS1
9376662454377,abri-rangement-portable-fermeture-eclair,Abri de rangement portable à fermeture éclair,true,CLEAN_POS1
9359738732649,agenouilloir-jardin-pliable-mousse-eva,Agenouilloir de jardin pliable avec coussin mousse EVA,false,STILL_NO_LIFESTYLE
9367403364457,aire-de-jeu-sable-eau-bois-18-accessoires,Aire de jeu sable et eau en bois 18 accessoires,false,STILL_NO_LIFESTYLE
7736555765865,chemin-de-jardin-en-bois-120cm-passerelle-exterieure-deroulante,Allée de jardin bois déroulable 120 cm,true,CLEAN_POS1
7752241709161,arbre-a-chat-geant-168cm-avec-condos-hamacs-et-perchoir,Arbre à chat multi-niveaux 168 cm avec condos et hamacs,true,CLEAN_POS1
7751760150633,arbre-a-chat-177cm-multi-niveaux-avec-2-condos-et-hamac,Arbre à chat multi-niveaux 177 cm avec condos et hamac,true,CLEAN_POS1
7752240595049,grand-arbre-a-chat-192-cm-8-griffoirs-3-lits-2-hamacs,Arbre à chat multi-niveaux 192 cm avec 8 griffoirs,true,CLEAN_POS1
7751736819817,tour-a-chat-multi-niveaux-ajustable-240-260cm-avec-condos,Arbre à chat multi-niveaux ajustable 240-260 cm,true,CLEAN_POS1
9365035516009,arbre-chat-multi-niveaux-condo-hamac-119cm,Arbre à chat multi-niveaux avec condo et hamac 119 cm,true,CLEAN_POS1
7752199340137,arbre-a-chat-geant-200cm-centre-dactivites-multi-niveaux,Arbre à chat multiniveau 79 pouces avec griffoirs,true,CLEAN_POS1
7752238956649,arbre-a-chat-206-cm-tours-multi-niveaux-avec-griffoirs,Arbre à chat multiniveau 81 po avec griffoirs,true,CLEAN_POS1
7752188461161,arbre-a-chat-119-cm-griffoir-et-condo-multi-niveaux,Arbre à chat multiniveaux avec condo et coussins 119 cm,true,CLEAN_POS1
7752238858345,arbre-a-chat-du-plancher-au-plafond-225-255cm-pour-grands-chats,Arbre à chat plafond-sol ajustable 225-255cm avec hamacs,true,CLEAN_POS1
9364962508905,arbre-ficus-artificiel-152cm-pot,Arbre artificiel ficus 152 cm plante décorative avec pot,true,CLEAN_POS1
9364962410601,arbres-artificiels-lavande-ensemble-2-pots,Arbres artificiels lavande ensemble 2 boules fleuries,true,CLEAN_POS1
7736576311401,arche-de-jardin-8-pi-treillis-noir-pour-plantes-grimpantes,Arche de jardin 8 pieds treillis métal plantes grimpantes,true,CLEAN_POS1
7736551964777,arche-de-jardin-metallique-8-pi-treillis-decoratif-noir,Arche de jardin décorative 244 cm acier treillis,true,CLEAN_POS1
9367417389161,arche-jardin-acier-plantes-grimpantes,Arche de jardin en acier pour plantes grimpantes,true,CLEAN_POS1
7736554291305,arche-de-jardin-forme-cage-a-oiseaux-219x219x286cm-noir,Arche de jardin forme cage à oiseau en métal,true,CLEAN_POS1
7736553799785,arche-de-jardin-2-7m-treillis-noir-pour-rosiers-grimpants,Arche de jardin treillis décorative 265 cm,true,CLEAN_POS1
9376663404649,armoire-chaussures-3-tiroirs-rabattables-tablettes-ajustables,"Armoire à chaussures 3 tiroirs rabattables, 12-18 paires",true,CLEAN_POS1
9364963164265,armoire-chaussures-etroite-style-ferme,Armoire à chaussures étroite avec tiroirs basculants style ferme,true,CLEAN_POS1
9369986302057,armoire-rangement-39-tiroirs-montage-mural,Armoire de rangement 39 tiroirs montage mural,true,CLEAN_POS1
7752239218793,armoire-de-rangement-cuisine-moderne-avec-etageres-ajustables,Armoire de rangement cuisine tablettes ajustables pieds métal,true,CLEAN_POS1
9364960378985,armoire-garde-manger-cuisine-5-tablettes-porte-grange,Armoire garde-manger cuisine 5 tablettes porte de grange 170cm,true,CLEAN_POS1
9364962246761,armoire-murale-salle-bain-etageres-ajustables,Armoire murale salle de bain avec étagères ajustables,true,CLEAN_POS1
9364960706665,armoire-pharmacie-murale-3-niveaux-acier,Armoire Pharmacie Murale 3 Niveaux Acier Verrouillable,true,CLEAN_POS1
9364961034345,armoire-pharmacie-murale-miroir-3-portes,Armoire pharmacie murale miroir 71 x 61 cm,true,CLEAN_POS1
7752207269993,armoire-de-rangement-patio-porte-serviettes-exterieur-rotin,Armoire rangement patio rotin avec tiroir porte-serviettes,true,CLEAN_POS1
7752203501673,auto-electrique-12v-2-places-avec-seau-telecommande-et-suspension,Auto électrique 12V deux places avec télécommande,false,STILL_NO_LIFESTYLE
7752186232937,voiture-electrique-enfant-12v-avec-telecommande-parentale,Auto électrique enfant télécommande parentale 12V,true,CLEAN_POS1
7751785775209,voiture-electrique-police-12v-pour-2-enfants-avec-telecommande,Auto électrique police 2 places 12V,true,CLEAN_POS1
7751742423145,auto-electrique-12v-pour-enfants-avec-telecommande-et-suspension,Auto électrique pour enfants 12V avec télécommande,false,STILL_NO_LIFESTYLE
9365263057001,auvent-lateral-retractable-exterieur-polyester,Auvent latéral rétractable 300 x 200 cm extérieur polyester,true,CLEAN_POS1
7736547803241,auvent-lateral-retractable-4x1-8m-ecran-intimite-jardin,"Auvent rétractable latéral 4m x 1,8m pour terrasse",true,CLEAN_POS1
7798393208937,auvent-lateral-retractable-4m-x-1-8m-paravent-exterieur,"Auvent rétractable latéral extérieur 4 x 1,8 m",true,CLEAN_POS1
7752181940329,auvent-retractable-en-aluminium-pour-patio-et-terrasse,Auvent rétractable patio aluminum réglable,true,CLEAN_POS1
9376661635177,bac-compost-exterieur-grande-capacite-302l,Bac à compost extérieur grande capacité 302 L,false,STILL_NO_LIFESTYLE
7736563073129,bac-a-jardin-sureleve-174x90x70cm-acier-avec-couverture-gris,Bac à jardinage surélevé acier galvanisé avec couvercle,true,CLEAN_POS1
7788348506217,bac-a-jardinage-sureleve-1-piece-jardiniere-pp-sur-pattes,Bac à jardinage surélevé polypropylène avec pieds,true,CLEAN_POS1
7798394159209,bac-a-plantes-sureleve-avec-rangement-sapin-91x41x81cm,Bac à plantes surélevé avec étagère de rangement 91 x 41 cm,true,CLEAN_POS1
9367415324777,bac-a-sable-bois-auvent-reglable-sieges,Bac à sable en bois avec auvent réglable et sièges,false,SWAP_TEXT
